"binary","filename","configuration","rate","time"
"old","esm/cjs-parse.js","n=100",528.1941228336455,0.189324333
"new","esm/cjs-parse.js","n=100",493.8851877352425,0.202476208
"old","esm/cjs-parse.js","n=100",569.9513129919951,0.175453583
"new","esm/cjs-parse.js","n=100",455.14697264680484,0.219709250
"old","esm/cjs-parse.js","n=100",464.1870047533724,0.215430417
"new","esm/cjs-parse.js","n=100",591.568668732034,0.169042083
"old","esm/cjs-parse.js","n=100",523.9952709007605,0.190841417
"new","esm/cjs-parse.js","n=100",627.1486347406955,0.159451834
"old","esm/cjs-parse.js","n=100",673.3175492886794,0.148518333
"new","esm/cjs-parse.js","n=100",537.603820100924,0.186010583
"old","esm/cjs-parse.js","n=100",562.2743434919907,0.177849125
"new","esm/cjs-parse.js","n=100",689.8773985760874,0.144953292
"old","esm/cjs-parse.js","n=100",538.9087626764208,0.185560167
"new","esm/cjs-parse.js","n=100",567.5587676455724,0.176193208
"old","esm/cjs-parse.js","n=100",495.9792622737991,0.201621333
"new","esm/cjs-parse.js","n=100",689.0936038979435,0.145118166
"old","esm/cjs-parse.js","n=100",505.8403492083014,0.197690833
"new","esm/cjs-parse.js","n=100",528.3076036788087,0.189283666
"old","esm/cjs-parse.js","n=100",690.5131564403889,0.144819833
"new","esm/cjs-parse.js","n=100",532.9854714822792,0.187622375
"old","esm/cjs-parse.js","n=100",497.9520675522572,0.200822542
"new","esm/cjs-parse.js","n=100",730.94383554021,0.136809417
"old","esm/cjs-parse.js","n=100",512.5921464475763,0.195086875
"new","esm/cjs-parse.js","n=100",517.03144760538,0.193411833
"old","esm/cjs-parse.js","n=100",612.1963270522235,0.163346292
"new","esm/cjs-parse.js","n=100",689.0864764732405,0.145119667
"old","esm/cjs-parse.js","n=100",516.7083002657245,0.193532792
"new","esm/cjs-parse.js","n=100",539.8932785397805,0.185221791
"old","esm/cjs-parse.js","n=100",706.061774036551,0.141630667
"new","esm/cjs-parse.js","n=100",497.29842629912997,0.201086500
"old","esm/cjs-parse.js","n=100",543.119993536872,0.184121375
"new","esm/cjs-parse.js","n=100",711.9312559179285,0.140463000
"old","esm/cjs-parse.js","n=100",508.55624781870694,0.196635083
"new","esm/cjs-parse.js","n=100",669.2398940593247,0.149423250
"old","esm/cjs-parse.js","n=100",530.9776812929973,0.188331833
"new","esm/cjs-parse.js","n=100",596.0390226748144,0.167774250
"old","esm/cjs-parse.js","n=100",601.23147477313,0.166325291
"new","esm/cjs-parse.js","n=100",588.5155590743032,0.169919042
"old","esm/cjs-parse.js","n=100",690.8439003664927,0.144750500
"new","esm/cjs-parse.js","n=100",560.6225713655014,0.178373125
"old","esm/cjs-parse.js","n=100",522.7399483393882,0.191299709
"new","esm/cjs-parse.js","n=100",712.0286242342416,0.140443792
"old","esm/cjs-parse.js","n=100",539.8517422435533,0.185236042
"new","esm/cjs-parse.js","n=100",526.2650104398084,0.190018333
"old","esm/cjs-parse.js","n=100",701.723406723146,0.142506291
"new","esm/cjs-parse.js","n=100",425.3938121501423,0.235076292
"old","esm/cjs-parse.js","n=100",359.21975672740024,0.278381125
"new","esm/cjs-parse.js","n=100",647.3858962127116,0.154467375
"old","esm/cjs-parse.js","n=100",530.0923487133002,0.188646375
"new","esm/cjs-parse.js","n=100",721.8924445083624,0.138524791
"old","esm/cjs-parse.js","n=100",501.5367914826735,0.199387167
"new","esm/cjs-parse.js","n=100",509.96015936254975,0.196093750
"old","esm/cjs-parse.js","n=100",657.6892089643039,0.152047500
"new","esm/cjs-parse.js","n=100",548.7932037449649,0.182218000
"old","esm/cjs-parse.js","n=100",731.1732039644211,0.136766500
"new","esm/cjs-parse.js","n=100",583.2989857725562,0.171438666
"old","esm/cjs-parse.js","n=100",507.6104563652519,0.197001458
"new","esm/cjs-parse.js","n=100",514.3195115433537,0.194431667
"old","esm/cjs-parse.js","n=100",716.0378743078143,0.139657417
"new","esm/cjs-parse.js","n=100",501.7459731285629,0.199304041
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32570.770176574286,0.030702375
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27789.64627254001,0.035984625
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",14861.711771961895,0.067287000
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9847.660823084429,0.101546958
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",372277.81157233025,0.002686166
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",378620.51131185575,0.002641167
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32444.621087381478,0.030821750
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28010.191564221022,0.035701291
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15160.962038846175,0.065958875
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10148.055873003657,0.098541042
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",365341.2451633386,0.002737167
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",389762.19439233537,0.002565667
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32113.5968390972,0.031139458
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27870.938713004223,0.035879667
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15339.60920719546,0.065190709
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10084.31749969432,0.099163875
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",370461.88817756093,0.002699333
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",378107.57160412136,0.002644750
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32251.735893243917,0.031006083
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27063.66025125307,0.036949917
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",14747.00589695898,0.067810375
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10034.908939473193,0.099652125
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",358214.30170599563,0.002791625
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",351411.4617065173,0.002845667
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31993.21743790316,0.031256625
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",26492.551261563367,0.037746459
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15100.180258401835,0.066224375
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10021.26181054558,0.099787833
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",364797.081623347,0.002741250
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",365396.9123960902,0.002736750
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32669.195806908716,0.030609875
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",26711.39364879988,0.037437208
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15105.607151526145,0.066200583
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9714.601238982756,0.102937833
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",368703.2852937533,0.002712208
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",378310.1189634,0.002643334
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31762.291014050843,0.031483875
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27116.744608777644,0.036877583
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",14482.932096251481,0.069046792
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9863.77300917398,0.101381084
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",371966.1049606516,0.002688417
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",375275.6399575488,0.002664708
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31273.088334747135,0.031976375
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",26504.664502896536,0.037729208
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15077.422413318165,0.066324334
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9977.255947115515,0.100227959
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",332852.583252256,0.003004333
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",371994.8858143098,0.002688209
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32232.634007659373,0.031024458
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28676.918665089437,0.034871250
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15281.397304074224,0.065439042
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10076.713211542416,0.099238708
